day,address,kind,net_tokens
2023-08-16,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,53167334.33621145
2023-08-17,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,30935615.08869163
2023-08-18,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-41387740.68014612
2023-08-19,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-9316730.19919543
2023-08-20,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-4315008.2000906
2023-08-21,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-3180732.7616681
2023-08-22,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-3693377.69564703
2023-08-23,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,7680655.66296108
2023-08-24,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,10404375.77044674
2023-08-25,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-1499502.26173263
2023-08-26,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-7101674.15292003
2023-08-27,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,3967613.59442069
2023-08-28,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,1387935.42506237
2023-08-29,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,10516818.35830121
2023-08-30,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,1353445.89302327
2023-08-31,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,99314.41054987
2023-09-01,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,4877477.84714092
2023-09-02,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-1534383.48560331
2023-09-03,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-8701889.21085783
2023-09-04,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,lp,-5511580.09814279
